sku,ourName,ourSlug,currentlyHasRealImage,matchedName,confidence,numbersMatch,imageUrl,approved
PMS-A001,Avil 25,avil-25-pms-a001,false,TAB. Avil 25,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-2-1.webp,yes
PMS-A002,Avil 50,avil-50-pms-a002,false,TAB. Avil 50,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/8c76d612-359e-4c9e-8272-4e78613ac13e.webp,yes
PMS-A003,AF 200,af-200-pms-a003,false,AC-4 F 200 mg,0.2,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/8c8b14a6f9554ad28567c36c3794792a.avif,
PMS-A004,AF 400,af-400-pms-a004,false,AC-4 F 400 mg,0.2,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-5.webp,
PMS-A005,Amlovas-S 2.5,amlovas-s-2-5-pms-a005,false,Azomax 2.5,0.4,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/product-jpeg.jpeg,
PMS-A006,Amlovas-AT,amlovas-at-pms-a006,false,Amlovas 5,0.333,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-4-1.webp,
PMS-A007,Allegra 120,allegra-120-pms-a007,false,Allegra-5Ml,0.333,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-9-1.webp,
PMS-A008,Allegra 180,allegra-180-pms-a008,false,Allegra-180,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-8-1.webp,yes
PMS-A009,Allegra-M,allegra-m-pms-a009,false,Allegra-5Ml,0.333,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-9-1.webp,
PMS-A010,Amaryl M Forte 1mg,amaryl-m-forte-1mg-pms-a010,false,Amaryl M-forte 1mg,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/3a9973152987443699b862e8e8e3a0c4.avif,yes
PMS-A011,Amaryl M 1mg,amaryl-m-1mg-pms-a011,false,Amaryl M-forte 1mg,0.75,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/3a9973152987443699b862e8e8e3a0c4.avif,yes
PMS-A012,Amaryl M 2mg,amaryl-m-2mg-pms-a012,false,Amaryl M-forte 1mg,0.4,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/3a9973152987443699b862e8e8e3a0c4.avif,
PMS-A013,Alex Cough Syrup,alex-cough-syrup-pms-a013,false,Alex,0.5,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-10-1.webp,
PMS-A014,Azee 250,azee-250-pms-a014,false,Azee 250Mg,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-11-1.webp,yes
PMS-A015,Azee 500,azee-500-pms-a015,false,Azee 500Mg,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/3.webp,yes
PMS-A016,Azithral 250,azithral-250-pms-a016,false,Azithral 250Mg,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-12-1.webp,yes
PMS-A017,Azithral 500,azithral-500-pms-a017,false,Azithral 500Mg,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/76761-1-800.webp,yes
PMS-A018,Amlokind-AT,amlokind-at-pms-a018,false,Amlokind 5mg AT,0.4,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-13-1.webp,
PMS-A019,Aciloc 150,aciloc-150-pms-a019,false,Aciloc RD 150,0.667,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-16.webp,
PMS-A020,Aciloc 300,aciloc-300-pms-a020,false,Aciloc RD 300,0.667,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-17.webp,
PMS-A021,Augmentin 625 Duo,augmentin-625-duo-pms-a021,false,Augmentin 625,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-14.webp,yes
PMS-A022,Aceclo Plus,aceclo-plus-pms-a022,false,Aceclo Plus,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-22.webp,yes
PMS-A023,Aceclo MR,aceclo-mr-pms-a023,false,Aceclo MR,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-23.webp,yes
PMS-A024,Avomine,avomine-pms-a024,false,Avomine,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-18.webp,yes
PMS-A025,Atarax 10,atarax-10-pms-a025,false,Atarax 10,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-19.webp,yes
PMS-A026,Atarax 25,atarax-25-pms-a026,false,Atarax 25,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-20.webp,yes
PMS-A027,Azulix 1 MF,azulix-1-mf-pms-a027,false,AZULIX 1 mf,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-24.webp,yes
PMS-A028,Azulix 2 MF,azulix-2-mf-pms-a028,false,AZULIX 2 mf,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-25.webp,yes
PMS-A029,Aten 25,aten-25-pms-a029,false,Aten 25,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-26.webp,yes
PMS-A030,Aten 50,aten-50-pms-a030,false,Aten 50,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/aten50tab_1.jpg,yes
PMS-A031,Aristozyme Liquid,aristozyme-liquid-pms-a031,false,Aristozyme &#038; 60 ml,0.333,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/51XVLu8h5ML.jpg,
PMS-A032,AKT-4 Kit,akt-4-kit-pms-a032,false,AKT-4,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-27.webp,yes
PMS-A033,Anafortan,anafortan-pms-a033,false,Anafortan,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-28.webp,yes
PMS-A034,Asomex 2.5,asomex-2-5-pms-a034,false,Azomax 2.5,0.5,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/product-jpeg.jpeg,
PMS-A035,Amodep-AT,amodep-at-pms-a035,false,Amodep 5-AT,0.4,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-29.webp,
PMS-A036,Amlopin-AT,amlopin-at-pms-a036,false,Amlopin AT-M 5,0.4,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-30.webp,
PMS-A037,Arkamin,arkamin-pms-a037,false,ARKAMIN,1,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-31.webp,yes
PMS-A038,Atorfit CV 10,atorfit-cv-10-pms-a038,false,Atorfit CV Gold 10,0.75,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-32.webp,yes
PMS-A039,Atorfit CV 20,atorfit-cv-20-pms-a039,false,Atorfit CV Gold 20,0.75,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-33.webp,yes
PMS-A040,Aristozyme Gold,aristozyme-gold-pms-a040,false,Aristozyme &#038; 60 ml,0.25,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/51XVLu8h5ML.jpg,
PMS-B001,Brufen 200,brufen-200-pms-b001,false,AC-4 F 200 mg,0.2,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/8c8b14a6f9554ad28567c36c3794792a.avif,
